peak_time,peak_confidence,phase
2024-04-23T10:06:36.010000Z,0.71341187,P
2024-04-23T10:19:34.900000Z,0.72596496,S
2024-04-23T10:23:07.010000Z,0.8516601,P
2024-04-23T10:27:59.720000Z,0.7939148,S
2024-04-23T10:28:29.950000Z,0.8574647,P
2024-04-23T10:28:30.490000Z,0.8289903,S
2024-04-23T10:32:51.620000Z,0.75148624,S
2024-04-23T10:33:23.000000Z,0.88900024,P
2024-04-23T10:33:23.430000Z,0.7429172,S
2024-04-23T10:38:20.980000Z,0.7796896,S
2024-04-23T10:38:48.940000Z,0.78948987,P
2024-04-23T10:41:28.020000Z,0.73181134,S
2024-04-23T10:47:03.070000Z,0.7581753,S
2024-04-23T10:49:15.130000Z,0.73150945,P
2024-04-23T10:56:22.910000Z,0.7259628,S
2024-04-23T11:07:24.970000Z,0.86301243,P
2024-04-23T11:11:35.990000Z,0.71371645,P
2024-04-23T11:14:51.000000Z,0.79329014,P
2024-04-23T11:55:55.720000Z,0.81647295,P
2024-04-23T11:55:55.990000Z,0.7579535,S
2024-04-23T12:02:35.000000Z,0.8415572,P
2024-04-23T12:03:31.930000Z,0.8558091,S
2024-04-23T12:09:06.080000Z,0.7772517,S
2024-04-23T12:09:49.790000Z,0.76990724,S
2024-04-23T12:10:32.110000Z,0.77764827,S
2024-04-23T12:23:08.010000Z,0.75661767,P
2024-04-23T12:31:24.890000Z,0.71222943,S
2024-04-23T12:37:49.050000Z,0.8157914,S
2024-04-23T12:41:38.010000Z,0.9137378,P
2024-04-23T12:45:13.110000Z,0.7409849,S
2024-04-23T12:48:39.010000Z,0.75664794,P
2024-04-23T12:53:29.420000Z,0.73572713,S
2024-04-23T12:56:21.120000Z,0.7251484,P
2024-04-23T12:56:21.520000Z,0.7776507,S
2024-04-23T12:59:03.960000Z,0.81497604,P
2024-04-23T12:59:04.510000Z,0.7511433,S
2024-04-23T13:02:25.960000Z,0.7599847,P
2024-04-23T13:09:48.950000Z,0.703402,P
2024-04-23T13:29:08.050000Z,0.77824,S
2024-04-23T13:30:07.010000Z,0.86760885,P
2024-04-23T13:37:38.000000Z,0.8456552,P
2024-04-23T13:51:21.410000Z,0.74027616,S
2024-04-23T14:05:38.000000Z,0.7069433,P
2024-04-23T14:13:49.950000Z,0.84430236,P
2024-04-23T14:13:51.110000Z,0.71499944,S
2024-04-23T14:14:06.970000Z,0.85310334,P
2024-04-23T14:31:11.000000Z,0.7876432,P
2024-04-23T14:32:23.110000Z,0.72604907,P
2024-04-23T14:40:20.860000Z,0.71110517,P
2024-04-23T14:45:51.020000Z,0.90420574,P
2024-04-23T14:45:51.550000Z,0.76945984,S
2024-04-23T14:46:15.180000Z,0.71276414,P
2024-04-23T14:46:51.290000Z,0.7426679,S
2024-04-23T15:12:23.090000Z,0.83928984,P
2024-04-23T15:21:55.810000Z,0.781137,P
2024-04-23T15:21:56.280000Z,0.7137938,S
2024-04-23T15:30:11.600000Z,0.87533617,P
2024-04-23T15:39:36.990000Z,0.7286024,P
2024-04-23T15:42:41.610000Z,0.74524385,S
2024-04-23T15:45:55.460000Z,0.72341305,S
2024-04-23T15:49:52.110000Z,0.8627887,P
2024-04-23T15:54:56.000000Z,0.80684185,P
2024-04-23T15:59:07.010000Z,0.78944874,P
2024-04-23T16:05:39.990000Z,0.82068324,P
2024-04-23T16:11:06.010000Z,0.74495983,P
2024-04-23T16:15:18.970000Z,0.8357217,P
2024-04-23T16:23:53.010000Z,0.7696277,P
2024-04-23T16:24:49.030000Z,0.75859,P
2024-04-23T16:39:23.000000Z,0.75733167,P
2024-04-23T16:45:39.980000Z,0.8922913,P
2024-04-23T17:40:07.990000Z,0.81799394,P
2024-04-23T17:41:08.000000Z,0.8615607,P
2024-04-23T18:09:04.920000Z,0.84661084,P
2024-04-23T18:36:47.940000Z,0.88308984,P
2024-04-23T18:36:48.400000Z,0.78435534,S
2024-04-23T18:47:51.130000Z,0.7267954,P
2024-04-23T18:55:23.050000Z,0.7124972,P
2024-04-23T19:41:37.000000Z,0.7196318,P
2024-04-23T20:00:09.990000Z,0.8388829,P
2024-04-23T21:09:53.690000Z,0.7271938,S
2024-04-23T21:11:37.010000Z,0.7194496,P
2024-04-23T21:57:06.020000Z,0.8609479,P
2024-04-23T22:11:21.020000Z,0.8182475,P
2024-04-23T22:46:44.760000Z,0.82617676,P
2024-04-23T23:14:25.280000Z,0.8301602,P
2024-04-23T23:42:06.020000Z,0.8957682,P
2024-04-24T00:33:58.880000Z,0.749654,S
2024-04-24T00:37:11.600000Z,0.7929756,P
