event_id,time,lat,long,mag,mag_type,depth,epi_distance,P_predict,S_predict,catalogued,detected,P_detected,S_detected,P_peak_confidence,peak_confidence
,,,,,,,,,,False,True,2024-04-23T07:33:09.010000,,,0.7784486413002014
,,,,,,,,,,False,True,2024-04-23T07:34:20.940000,,,0.7491254806518555
,,,,,,,,,,False,True,2024-04-23T07:37:45.040000,,,0.7744251489639282
,,,,,,,,,,False,True,,2024-04-23T07:37:45.620000,,0.8146092295646667
,,,,,,,,,,False,True,2024-04-23T07:47:12.200000,,,0.7638121843338013
,,,,,,,,,,False,True,2024-04-23T08:02:54.990000,,,0.720145583152771
,,,,,,,,,,False,True,,2024-04-23T08:02:55.530000,,0.7479009628295898
,,,,,,,,,,False,True,2024-04-23T08:03:22.980000,,,0.7302525043487549
,,,,,,,,,,False,True,2024-04-23T08:12:23.080000,,,0.8454091548919678
,,,,,,,,,,False,True,2024-04-23T08:13:46.440000,,,0.7955499291419983
,,,,,,,,,,False,True,,2024-04-23T08:13:46.860000,,0.7424486875534058
,,,,,,,,,,False,True,2024-04-23T08:14:40.690000,,,0.8550053238868713
,,,,,,,,,,False,True,,2024-04-23T08:14:41.330000,,0.798147439956665
,,,,,,,,,,False,True,2024-04-23T08:16:20.050000,,,0.7720872759819031
,,,,,,,,,,False,True,2024-04-23T08:20:53.060000,,,0.7043033242225647
,,,,,,,,,,False,True,2024-04-23T08:30:38.010000,,,0.8974630832672119
,,,,,,,,,,False,True,,2024-04-23T08:30:38.470000,,0.7274042963981628
,,,,,,,,,,False,True,2024-04-23T08:33:53.010000,,,0.8713400959968567
,,,,,,,,,,False,True,,2024-04-23T08:33:53.480000,,0.8222663402557373
,,,,,,,,,,False,True,,2024-04-23T08:34:28.450000,,0.7575051188468933
,,,,,,,,,,False,True,2024-04-23T08:36:11.020000,,,0.7772688269615173
,,,,,,,,,,False,True,,2024-04-23T08:37:53.670000,,0.7174655795097351
,,,,,,,,,,False,True,2024-04-23T08:43:40,,,0.7786048054695129
,,,,,,,,,,False,True,2024-04-23T08:49:09.020000,,,0.7564497590065002
,,,,,,,,,,False,True,2024-04-23T08:50:21.080000,,,0.7535085082054138
,,,,,,,,,,False,True,2024-04-23T08:55:06.500000,,,0.8652663826942444
,,,,,,,,,,False,True,2024-04-23T08:56:20.550000,,,0.8120474815368652
,,,,,,,,,,False,True,,2024-04-23T08:56:21.010000,,0.833842396736145
,,,,,,,,,,False,True,2024-04-23T08:57:21.100000,,,0.835533857345581
,,,,,,,,,,False,True,2024-04-23T09:09:22.080000,,,0.7601972818374634
,,,,,,,,,,False,True,2024-04-23T09:13:35.320000,,,0.7226033210754395
,,,,,,,,,,False,True,,2024-04-23T09:13:35.830000,,0.7910564541816711
